dataset,model,method,accuracy,log_loss,brier_score,ece,tilt,seed
breast_cancer,LogisticRegression,Isotonic,0.9824561403508771,0.3256766381352903,0.014982217103863694,0.017016937985785588,-0.006771461457508132,43
breast_cancer,RandomForest,Uncalibrated,0.9736842105263158,0.09717656764025942,0.02699220272904484,0.04976608187134494,0.048354623867234194,43
breast_cancer,RandomForest,Platt,0.9736842105263158,0.10674031753253106,0.02504238397647814,0.04102901961570141,0.05298920340067319,43
breast_cancer,RandomForest,Isotonic,0.9736842105263158,0.08833224662088715,0.026459824328194072,0.0412970866124885,0.018394867571447905,43
diabetes,LogisticRegression,Uncalibrated,0.7792207792207793,0.4307600729812166,0.1383018031781911,0.09249529642311834,-0.012764072920244614,43
diabetes,LogisticRegression,Platt,0.7857142857142857,0.4346722267429703,0.13921890959932645,0.09909301184512946,-0.007731925118521546,43
diabetes,LogisticRegression,Isotonic,0.7792207792207793,0.6124258177428564,0.13488452123530614,0.09310169095386828,-0.03128212817170899,43
diabetes,RandomForest,Uncalibrated,0.7922077922077922,0.468546316186211,0.15291060606060608,0.08344155844155843,0.07140067340067331,43
diabetes,RandomForest,Platt,0.7727272727272727,0.46893971372757315,0.15255112834141257,0.07889481435693917,0.02825824936742374,43
diabetes,RandomForest,Isotonic,0.7727272727272727,0.8849077517051447,0.1587222643343481,0.09289956972974858,-0.06972362434056895,43
breast_cancer,LogisticRegression,Uncalibrated,0.9649122807017544,0.10263172587872323,0.028385007773776682,0.04936864301669053,0.03497359600462836,44
breast_cancer,LogisticRegression,Platt,0.9649122807017544,0.10969375639165231,0.025887671894570394,0.02934603853287436,0.03032315071416056,44
breast_cancer,LogisticRegression,Isotonic,0.9824561403508771,0.6277547625897721,0.022923590892046104,0.03362582952702655,0.01547106861546298,44
breast_cancer,RandomForest,Uncalibrated,0.9210526315789473,0.46428385857905646,0.058069590643274854,0.05245614035087715,0.009986738999397109,44
breast_cancer,RandomForest,Platt,0.9298245614035088,0.21313463439865069,0.060995304533248376,0.03996760250913008,-0.014431624647388265,44
breast_cancer,RandomForest,Isotonic,0.9210526315789473,1.289562300850731,0.06232753764037205,0.06973465077663993,-0.09121896750573216,44
diabetes,LogisticRegression,Uncalibrated,0.7402597402597403,0.537030051386633,0.17524218209043438,0.08260468416768392,-0.18225375541053424,44
